Date,Median Sale Price,Average Sale Price,County
Jan 2001,218688.18,306676.14,Litchfield
Feb 2001,205566.89,318415.67,Litchfield
Mar 2001,212208.53,313218.81,Litchfield
Apr 2001,226787.74,292300.15,Litchfield
May 2001,221928.01,313448.42,Litchfield
Jun 2001,245376.24,307868.48,Litchfield
Jul 2001,246226.69,299439.07,Litchfield
Aug 2001,248656.56,363656.08,Litchfield
Sep 2001,228124.17,300346.89,Litchfield
Oct 2001,226787.74,276170.95,Litchfield
Nov 2001,223547.92,303628.53,Litchfield
Dec 2001,242986.87,325261.29,Litchfield
Jan 2002,226813.35,319066.65,Litchfield
Feb 2002,236778.79,336677.58,Litchfield
Mar 2002,250331.79,323349.08,Litchfield
Apr 2002,230002.29,296338.59,Litchfield
May 2002,235981.56,330192.28,Litchfield
Jun 2002,243953.91,303416.35,Litchfield
Jul 2002,242359.44,333837.37,Litchfield
Aug 2002,255115.20,323200.80,Litchfield
Sep 2002,247142.85,322573.51,Litchfield
Oct 2002,253441.00,325420.98,Litchfield
Nov 2002,239170.50,313400.03,Litchfield
Dec 2002,263087.55,382445.08,Litchfield
Jan 2003,264191.54,356045.42,Litchfield
Feb 2003,245643.58,298791.09,Litchfield
Mar 2003,230680.52,313477.41,Litchfield
Apr 2003,238863.45,318136.71,Litchfield
May 2003,257177.61,358706.22,Litchfield
Jun 2003,256398.28,344995.10,Litchfield
Jul 2003,280557.39,356840.83,Litchfield
Aug 2003,290688.63,362106.48,Litchfield
Sep 2003,288350.65,373995.22,Litchfield
Oct 2003,277120.56,343243.65,Litchfield
Nov 2003,296143.91,376970.12,Litchfield
Dec 2003,268088.17,322566.63,Litchfield
Jan 2004,296040.09,342179.56,Litchfield
Feb 2004,258086.23,382844.04,Litchfield
Mar 2004,291106.09,366700.87,Litchfield
Apr 2004,297558.24,399461.14,Litchfield
May 2004,294521.94,386518.42,Litchfield
Jun 2004,289398.16,396670.70,Litchfield
Jul 2004,322607.79,395985.46,Litchfield
Aug 2004,303554.95,378111.13,Litchfield
Sep 2004,296040.09,407460.51,Litchfield
Oct 2004,303630.86,395334.18,Litchfield
Nov 2004,303630.86,374109.95,Litchfield
Dec 2004,288449.32,398223.84,Litchfield
Jan 2005,315774.74,418601.49,Litchfield
Feb 2005,273916.22,417867.12,Litchfield
Mar 2005,280305.15,395009.23,Litchfield
Apr 2005,309532.68,415059.25,Litchfield
May 2005,323118.33,410802.60,Litchfield
Jun 2005,345149.13,421870.38,Litchfield
Jul 2005,341734.36,440514.78,Litchfield
Aug 2005,345149.13,414528.93,Litchfield
Sep 2005,348086.57,449595.57,Litchfield
Oct 2005,351391.19,465104.64,Litchfield
Nov 2005,359836.33,475936.06,Litchfield
Dec 2005,328846.34,422053.55,Litchfield
Jan 2006,338501.59,438631.78,Litchfield
Feb 2006,311609.28,417055.83,Litchfield
Mar 2006,320146.52,389556.77,Litchfield
