Date,Median Sale Price,Average Sale Price,County
Jan 2001,204918.92,238425.89,Hartford
Feb 2001,210588.62,254943.84,Hartford
Mar 2001,205728.88,246246.94,Hartford
Apr 2001,218688.18,258598.18,Hartford
May 2001,214962.38,254276.74,Hartford
Jun 2001,221928.01,263128.44,Hartford
Jul 2001,226787.74,270048.51,Hartford
Aug 2001,234887.31,279830.34,Hartford
Sep 2001,226787.74,260205.37,Hartford
Oct 2001,226787.74,261441.01,Hartford
Nov 2001,226787.74,266665.35,Hartford
Dec 2001,223547.92,256408.87,Hartford
Jan 2002,223066.35,267167.19,Hartford
Feb 2002,207281.10,251306.64,Hartford
Mar 2002,223066.35,270639.44,Hartford
Apr 2002,215253.45,253080.00,Hartford
May 2002,227052.52,266741.62,Hartford
Jun 2002,239170.50,295993.74,Hartford
Jul 2002,246345.61,296424.78,Hartford
Aug 2002,261493.08,309074.95,Hartford
Sep 2002,247142.85,295923.49,Hartford
Oct 2002,243953.91,282996.94,Hartford
Nov 2002,247142.85,290855.57,Hartford
Dec 2002,239170.50,275162.70,Hartford
Jan 2003,233797.83,283079.05,Hartford
Feb 2003,231459.85,263847.02,Hartford
Mar 2003,227563.22,271235.30,Hartford
Apr 2003,241591.09,280467.38,Hartford
May 2003,249384.35,291343.22,Hartford
Jun 2003,257177.61,316573.45,Hartford
Jul 2003,272764.13,339796.69,Hartford
Aug 2003,272296.53,331254.61,Hartford
Sep 2003,261463.90,310668.04,Hartford
Oct 2003,258736.26,306627.75,Hartford
Nov 2003,264815.00,313575.59,Hartford
Dec 2003,264970.87,301607.09,Hartford
Jan 2004,248977.31,298150.71,Hartford
Feb 2004,250495.46,300222.36,Hartford
Mar 2004,258086.23,296084.88,Hartford
Apr 2004,262640.70,309124.87,Hartford
May 2004,273267.78,315625.29,Hartford
Jun 2004,280858.55,329285.07,Hartford
Jul 2004,296040.09,357189.62,Hartford
Aug 2004,296040.09,355625.26,Hartford
Sep 2004,280858.55,328070.84,Hartford
Oct 2004,280858.55,321392.01,Hartford
Nov 2004,287614.33,328481.16,Hartford
Dec 2004,288449.32,332218.89,Hartford
Jan 2005,276119.30,318486.85,Hartford
Feb 2005,271713.14,320943.73,Hartford
Mar 2005,274283.40,310142.08,Hartford
Apr 2005,281994.18,327160.04,Hartford
May 2005,286400.34,327502.79,Hartford
Jun 2005,308431.14,355993.32,Hartford
Jul 2005,317243.46,367747.59,Hartford
Aug 2005,330461.93,368577.05,Hartford
Sep 2005,308431.14,346644.22,Hartford
Oct 2005,314306.02,355690.65,Hartford
Nov 2005,311368.58,346882.12,Hartford
Dec 2005,315774.74,356168.46,Hartford
Jan 2006,293111.93,333019.29,Hartford
Feb 2006,298803.42,330351.50,Hartford
Mar 2006,301649.17,345612.48,Hartford
Apr 2006,305917.79,337746.40,Hartford
May 2006,313032.16,343791.42,Hartford
Jun 2006,320786.82,364620.57,Hartford
Jul 2006,327260.89,380686.62,Hartford
Aug 2006,320146.52,367589.63,Hartford
Sep 2006,320146.52,360186.06,Hartford
Oct 2006,310186.41,343979.08,Hartford
Nov 2006,313032.16,343934.48,Hartford
Dec 2006,302360.61,342811.84,Hartford
Jan 2007,297381.31,340353.67,Hartford
Feb 2007,302222.40,345122.67,Hartford
Mar 2007,311213.00,367099.89,Hartford
Apr 2007,304297.15,334287.01,Hartford
May 2007,303252.86,338408.69,Hartford
Jun 2007,320895.18,378264.04,Hartford
Jul 2007,328502.61,389403.56,Hartford
Aug 2007,328848.40,379559.71,Hartford
Sep 2007,311213.00,341470.45,Hartford
Oct 2007,304297.15,346956.53,Hartford
Nov 2007,301530.82,352421.50,Hartford
Dec 2007,290465.47,346973.05,Hartford
Jan 2008,269132.82,321011.95,Hartford
Feb 2008,266468.14,314567.83,Hartford
Mar 2008,289117.93,327710.56,Hartford
Apr 2008,283788.57,327077.67,Hartford
May 2008,273129.85,321117.52,Hartford
Jun 2008,299776.66,354359.73,Hartford
Jul 2008,301109.00,357457.29,Hartford
Aug 2008,302441.34,365809.79,Hartford
Sep 2008,282789.32,329597.14,Hartford
Oct 2008,266468.14,315664.93,Hartford
Nov 2008,271797.50,328386.84,Hartford
Dec 2008,252411.95,293969.52,Hartford
Jan 2009,247275.20,287082.17,Hartford
Feb 2009,243265.33,291854.05,Hartford
Mar 2009,247943.51,276118.68,Hartford
Apr 2009,240592.08,291953.55,Hartford
May 2009,260641.42,300220.12,Hartford
Jun 2009,288042.19,338401.08,Hartford
Jul 2009,276680.89,319526.36,Hartford
Aug 2009,277349.21,323657.08,Hartford
Sep 2009,260641.42,301434.11,Hartford
Oct 2009,256631.55,297013.09,Hartford
Nov 2009,260641.42,300846.42,Hartford
Dec 2009,259638.96,305003.00,Hartford
Jan 2010,244608.63,287078.12,Hartford
Feb 2010,239019.45,288792.96,Hartford
Mar 2010,249869.03,284201.34,Hartford
Apr 2010,245923.73,285384.67,Hartford
May 2010,261704.93,293020.19,Hartford
Jun 2010,282746.53,321635.54,Hartford
Jul 2010,269595.53,314319.86,Hartford
Aug 2010,273540.83,323771.63,Hartford
Sep 2010,249869.03,298092.00,Hartford
Oct 2010,263283.05,328017.30,Hartford
Nov 2010,272225.73,315436.42,Hartford
Dec 2010,257906.92,301880.31,Hartford
Jan 2011,229512.14,274911.72,Hartford
Feb 2011,223614.96,271581.52,Hartford
Mar 2011,224411.87,260629.05,Hartford
Apr 2011,235823.73,299300.66,Hartford
May 2011,243537.89,310069.90,Hartford
Jun 2011,261388.83,325105.48,Hartford
Jul 2011,265851.57,310901.28,Hartford
Aug 2011,262663.90,314235.17,Hartford
Sep 2011,239712.68,285731.20,Hartford
Oct 2011,239393.92,280882.53,Hartford
Nov 2011,240987.75,286758.91,Hartford
Dec 2011,229512.14,278448.88,Hartford
Jan 2012,212358.86,256177.25,Hartford
Feb 2012,201428.63,241338.29,Hartford
Mar 2012,218604.71,263390.69,Hartford
