Date,Median Sale Price,Average Sale Price,County
Jan 2001,241363.72,272237.43,Middlesex
Feb 2001,210588.62,258515.99,Middlesex
Mar 2001,257566.08,263802.12,Middlesex
Apr 2001,242986.87,273192.06,Middlesex
May 2001,242824.88,269242.49,Middlesex
Jun 2001,252706.34,294307.58,Middlesex
Jul 2001,242986.87,273468.24,Middlesex
Aug 2001,251896.39,286992.89,Middlesex
Sep 2001,275385.12,317547.49,Middlesex
Oct 2001,242986.87,277818.40,Middlesex
Nov 2001,254326.25,318919.14,Middlesex
Dec 2001,242986.87,306464.58,Middlesex
Jan 2002,247142.85,265415.61,Middlesex
Feb 2002,235582.94,284586.84,Middlesex
Mar 2002,269465.43,335195.01,Middlesex
Apr 2002,234387.09,279850.50,Middlesex
May 2002,263087.55,296732.16,Middlesex
Jun 2002,271059.90,314712.44,Middlesex
Jul 2002,275046.07,328063.23,Middlesex
Aug 2002,284612.89,363767.48,Middlesex
Sep 2002,310124.41,372140.95,Middlesex
Oct 2002,285410.13,338460.29,Middlesex
Nov 2002,259101.37,296447.40,Middlesex
Dec 2002,294976.95,352827.82,Middlesex
Jan 2003,233797.83,288758.95,Middlesex
Feb 2003,241591.09,288792.13,Middlesex
Mar 2003,294429.40,312145.60,Middlesex
Apr 2003,297858.43,341902.88,Middlesex
May 2003,280401.53,347045.24,Middlesex
Jun 2003,319523.70,382666.27,Middlesex
Jul 2003,299261.22,352348.75,Middlesex
Aug 2003,327316.96,372451.07,Middlesex
Sep 2003,303937.17,353562.60,Middlesex
Oct 2003,311730.43,382782.58,Middlesex
Nov 2003,303937.17,367635.98,Middlesex
Dec 2003,310501.44,341329.12,Middlesex
Jan 2004,285413.01,377672.41,Middlesex
Feb 2004,280858.55,411950.67,Middlesex
Mar 2004,321013.73,351792.48,Middlesex
Apr 2004,335891.64,380999.59,Middlesex
May 2004,352211.80,397823.21,Middlesex
Jun 2004,344621.03,402570.50,Middlesex
Jul 2004,371795.99,440664.32,Middlesex
Aug 2004,360561.65,429710.58,Middlesex
Sep 2004,351073.18,408814.52,Middlesex
Oct 2004,341584.72,401157.09,Middlesex
Nov 2004,368911.50,412303.85,Middlesex
Dec 2004,318812.40,394123.66,Middlesex
Jan 2005,333986.86,383617.76,Middlesex
Feb 2005,342211.69,353953.39,Middlesex
Mar 2005,302923.44,348672.39,Middlesex
Apr 2005,327524.49,360671.20,Middlesex
May 2005,350289.65,403345.46,Middlesex
Jun 2005,384562.22,430297.19,Middlesex
Jul 2005,375257.88,421143.34,Middlesex
Aug 2005,374523.52,419546.66,Middlesex
Sep 2005,385906.10,440185.56,Middlesex
Oct 2005,367179.92,429042.78,Middlesex
Nov 2005,358000.43,408293.83,Middlesex
Dec 2005,381867.12,442270.73,Middlesex
Jan 2006,355576.07,403526.32,Middlesex
Feb 2006,362832.73,413258.23,Middlesex
Mar 2006,352872.61,405424.60,Middlesex
Apr 2006,355718.36,402889.43,Middlesex
May 2006,341489.63,400252.00,Middlesex
Jun 2006,369947.10,443188.63,Middlesex
Jul 2006,392001.63,464274.37,Middlesex
Aug 2006,334375.26,378784.26,Middlesex
Sep 2006,398262.28,471376.88,Middlesex
Oct 2006,361409.85,427119.73,Middlesex
Nov 2006,396199.11,421855.56,Middlesex
Dec 2006,383464.39,448870.62,Middlesex
Jan 2007,346483.81,405648.80,Middlesex
